inventor_id,name,country
0000n8nqsxhrztn7djlxou00k,Muamer Zukic,
0004z0eq002iqz3t9ecx7l5ml,Paul Barberi,
000c0a89h3umx2083c1fhf6sc,Arthur R. Stennett,
000f0k6brgval6kr9agzjlgcg,Lynda M. Salvetti,
000f3mi5t5lpa1ch45ncsfqtz,Semion H. Mazor,
000fjkbab9nljqyqpy20ktebx,Seved Ahmad Mojahed Gomnam,
000hl8sepandlrjbxh7oea7wh,John Riso,US
000jdp4dd6gu6ah3gvb1u0biq,Hiroshi Kuwako,
000rzeceuzox3ciyjtnl2qzx0,Johannes Adrianes Maria Dofferhoff,
000s9qy0x4l3x4n99bv2a1qn4,April A. Barbour,
000ua1xlntucefomeaptsceea,"William Mark Flintoff, Jr.",
0012xd77vu26r5ij34ouqupie,William Tanasychuk,
0019gsqdwzr3c68483mkfspl8,Mahoko Motoike,
001b693sja7ypgwm2mc34xrtp,"Robert C. Parro, II",
001iuvzip3ycjle3voaj2xm09,Claude-Daniel Proellochs,
001mge3ejdqbcj6k33fevziqm,Lynn B. Sauter,US
001nwy7n73l5zr8pme6w7gbls,Aaron Michael Burrry,
001q34w80gyh1jzoudyz9jr9n,Maurice G. Bellville,
001r3z1h180rcgot1pjkn72e2,Frederick G. Giglioli,
001rlvegetlsvjw2h8qhksgsr,Jerry Flournoy,
001sh51t5ft5hbegqhzo1y4or,Michael M. Stamler,
001v00g4g8h2a9x26n0kaix49,Lester B. Wilkens,
001wwao8tcfowqif3g924pk7j,Jill Kathleen Sestini,US
001zv4cfz8za6949z64jqexy4,Paul Hilsdale,
00242zx8zsf5a1j3mxqc8yl29,Payton Gellner,
0027f4vtntn052553e0qu9ypg,Robert H. Yauk,
0029zuxe3dxseja1ylneclebu,Nikola Tomov Chuparov,
002i7le3ht3f0xh4g24xxp4bk,Martin Von der Emder,
002kk214327fkuiseidips4dc,Clark Bullard,
002o5u40s4awi4mvmntw8mqh1,Llana Belle Loewen,
002ohnwojmiu4r0akwchg8vsn,Siegfried Sensis,
002otve7mteg5x8f2lpiq7c44,Claus-Dieter Haufe,
002pg0guixhldjunkc46xwmiv,Stavros Koulouridis,
002qjgaii95dovcd12hc14bpc,Camille Colette Pierrette Leclerco,
002wary9qnnv6qkhbag8ho4hy,Evgenia A. Khorkova,
002wzrhxfyj1m63ysvqzh3ym7,Stephen A. Leeper,
002ydt399hpgq46hu17ikphuq,George S Khan,
0030labq0f2letyzpq42d2rb4,Wendy Bialek,
0031xcoete6l5k1z3jqu14lm9,Clara Yvonne Nash-Owens,
0034bu9uifmra8ml2x11yqoc3,Frank J. Rumph,
0035yqq91ohgq3eiv73790j9h,Hugo Delattre,
0038xyxzf1ozaqbqh168nqydb,Jean-Claude Amieux,
003g2qbzflf1q341b9bpeaec0,Nataliya Dolhova,
003gl0pmpob62w5yf9j8xw1c8,Richard P. von Vajna,
003idp50x7mpd0crqp0w69fe6,Charles J. Stastny,
003ld15n1g7gsosthrv9eorhq,Peter Vygen,
003mjeqzsgw2zaf1xb62pvzuy,Margaret H. Scherlock,US
003rw6ws3tlxwydxvwzavpq8k,Robert Montausier,
0040o21aj4v0hafi9df27pjy9,Bruno Cappellato,
00448vjoe1ffu3l2nm9daeh2m,Jeff Hirschi,
004ahokjwzil85n1m3kzqza1o,Karl-Heinz Enderle,
004c2az5tnrs1b3naaw48bmda,Randall L. Kunkle,
004dalfulkcsmtrtdaua1c9xv,Jannes C. Jagt,
004dl20t7xe1xq92g69ijzftq,Otto Grablowitz,
004efm9jpndniwskp72tgfcxl,Christopher P. Yelland,
004elueo4fy2icu7af3ch2yws,Izou Fujino,
004gtx1np6fzy7gt5sjsl7emy,Claude Perruche,
004h75bndiyqkp7la5oglyadu,Howard A. Purdy,US
004noby3x18navbt1ljvgnzi0,Bjorn L. G. Bjernstad,
004rcl98y8wnz0wbl2ibn81bg,Russell D. Westbrook,
004sxraydhup13ce43vyj61p1,Michael D. Stohler,
004vj2pzd1gfb0fcaaiwc6prh,George R. Muzyka,
004vo2gbawxccud7paavhyb63,Louise E. Larrabee,
00521x7t1jea491acgrqptc2r,Eugene W. Howley,
0058b9yfxwowk5q7qks2y16w8,Amy C. Ericksen,
005ctplrvjnqb2nb4njcuv2ur,Simon Dowling,
